Type,Response ID,Start Date,End Date,Status,Source Type,InteractPedestrian,InteractBicycle,CircumstancesCoded,FeelingsProvingGround,SafetyHuman,SafetyAV,AVSafetyPotential,RegulationTesting,RegulationSpeed,RegulationSchoolZone,RegulationShareData,AdvocacyIssues,BikePghPosition,PayingAttentionAV,FamiliarityTechnoology,ZipCode
Public,260719229,03/01/2017 8:09:35 AM PST,03/01/2017 8:13:31 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,3,Yes,Not sure,Yes,Not sure,Yes,Neutral,Actively Support,To little extent,Somewhat familiar,15222
Public,260729133,03/01/2017 12:42:43 PM PST,03/01/2017 12:52:09 PM PST,COMPLETE,Social,Yes,Yes,2,Approve,4,5,Yes,Yes,No,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15223
Public,260729709,03/01/2017 1:04:41 PM PST,03/01/2017 1:07:47 PM PST,COMPLETE,Survey Link,No,Yes,2,Approve,5,5,Maybe,No,No,No,No,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15206
Public,260767914,03/02/2017 4:46:07 AM PST,03/02/2017 4:56:47 AM PST,COMPLETE,Survey Link,Yes,No,2,Neutral,4,5,Yes,Yes,Yes,No,Yes,Agree,Neither Support nor Oppose,To a large extent,Mostly familiar,15201
Public,260769207,03/02/2017 6:10:23 AM PST,03/02/2017 6:13:01 AM PST,COMPLETE,Social,No,Yes,2,Approve,2,5,Yes,Yes,Yes,No,Not sure,Strongly Agree,Actively Support,To a moderate extent,Mostly familiar,15206
Public,260769303,03/02/2017 6:17:41 AM PST,03/02/2017 6:48:43 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,2,4,Yes,Yes,Yes,Yes,Not sure,Neutral,No Opinion,To a moderate extent,Mostly familiar,15221
Public,260782776,03/02/2017 4:19:39 PM PST,03/02/2017 4:24:43 PM PST,COMPLETE,Social,Yes,Not sure,2,Neutral,3,3,Not sure,Yes,Yes,Yes,Yes,Neutral,No Opinion,To a large extent,Somewhat familiar,15223
Public,260786325,03/02/2017 5:47:12 PM PST,03/02/2017 5:50:31 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,5,Yes,Not sure,Yes,No,No,Strongly Disagree,Actively Support,To a large extent,Somewhat familiar,15202
Public,260813599,03/03/2017 2:07:07 AM PST,03/03/2017 2:10:06 AM PST,COMPLETE,Social,No,Not sure,2,Approve,3,4,Yes,Not sure,No,No,Not sure,Neutral,No Opinion,To little extent,Not familiar at all,15202
Public,260830116,03/03/2017 12:14:34 PM PST,03/03/2017 12:42:05 PM PST,COMPLETE,Social,Yes,No,2,Disapprove,1,1,Yes,Yes,Yes,Not sure,Not sure,Agree,Neither Support nor Oppose,To some extent,Somewhat familiar,15211
Public,260837932,03/03/2017 5:42:50 PM PST,03/03/2017 5:44:19 PM PST,COMPLETE,Social,Yes,Yes,2,Disapprove,2,1,No,Yes,Yes,Yes,Yes,Strongly Disagree,Actively Oppose,To a moderate extent,Mostly familiar,15206
Public,260846353,03/04/2017 4:04:45 AM PST,03/04/2017 4:10:53 AM PST,COMPLETE,Social,No,Yes,2,Approve,4,4,Yes,Yes,Not sure,No,Yes,Agree,Actively Support,To a moderate extent,Mostly Unfamiliar,15217
Public,260850677,03/04/2017 8:59:28 AM PST,03/04/2017 9:04:30 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Not sure,Yes,Not sure,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15201
Public,260854960,03/04/2017 10:36:03 AM PST,03/04/2017 10:40:18 AM PST,COMPLETE,Social,Yes,Yes,2,Approve,1,5,Yes,Yes,Yes,No,No,Neutral,Actively Support,To a large extent,Extremely familiar,15232
Public,260862337,03/04/2017 6:27:04 PM PST,03/04/2017 6:31:26 PM PST,COMPLETE,Survey Link,Yes,No,2,Neutral,3,3,Yes,Yes,Not sure,Not sure,Yes,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15224
Public,260870913,03/05/2017 9:18:57 AM PST,03/05/2017 9:38:22 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Disapprove,3,2,Not sure,Yes,Not sure,Yes,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15201
Public,260888183,03/06/2017 5:10:22 AM PST,03/06/2017 5:14:29 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,4,Yes,No,No,No,Yes,Neutral,No Opinion,To a moderate extent,Mostly familiar,15601
Public,260889477,03/06/2017 6:04:01 AM PST,03/06/2017 6:05:29 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,4,4,Yes,Yes,Not sure,Not sure,Yes,Disagree,Neither Support nor Oppose,To a large extent,Mostly familiar,15206
Public,260889483,03/06/2017 6:04:17 AM PST,03/06/2017 6:06:28 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,3,Not sure,Yes,Not sure,Not sure,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15210
Public,260889559,03/06/2017 6:07:01 AM PST,03/06/2017 6:08:52 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,No,No,No,Yes,Disagree,Actively Support,To a large extent,Somewhat familiar,15203
Public,260889564,03/06/2017 6:07:21 AM PST,03/06/2017 6:09:59 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,4,4,Yes,Not sure,Yes,No,Not sure,Disagree,Actively Support,To little extent,Somewhat familiar,15203
Public,260889574,03/06/2017 6:07:49 AM PST,03/06/2017 6:10:36 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Disapprove,2,2,No,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To little extent,Not familiar at all,15212
Public,260889768,03/06/2017 6:12:18 AM PST,03/06/2017 6:16:36 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,2,2,Maybe,Yes,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To a large extent,Somewhat familiar,15206
Public,260889816,03/06/2017 6:14:00 AM PST,03/06/2017 6:23:11 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,Not sure,No,No,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15208
Public,260889903,03/06/2017 6:17:51 AM PST,03/06/2017 6:24:06 AM PST,COMPLETE,Survey Link,Yes,No,2,Neutral,2,3,Maybe,Not sure,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
Public,260890080,03/06/2017 6:24:15 AM PST,03/06/2017 6:26:34 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,1,5,Not sure,Yes,Yes,Yes,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15203
Public,260890151,03/06/2017 6:27:28 AM PST,03/06/2017 6:37:17 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,2,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15222
Public,260890566,03/06/2017 6:42:10 AM PST,03/06/2017 6:49:05 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,3,4,Yes,Yes,No,No,Not sure,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15224
Public,260890688,03/06/2017 6:44:55 AM PST,03/06/2017 6:56:06 AM PST,COMPLETE,Survey Link,Not sure,Yes,2,Approve,3,4,Yes,Not sure,Yes,No,Yes,Neutral,No Opinion,To little extent,Mostly Unfamiliar,15213
Public,260890850,03/06/2017 6:51:28 AM PST,03/06/2017 6:55:38 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,5,No,No,No,No,No,Strongly Disagree,Actively Support,To a large extent,Mostly familiar,15203
Public,260891149,03/06/2017 7:00:31 AM PST,03/06/2017 7:02:56 AM PST,COMPLETE,Survey Link,Not sure,Yes,2,Somewhat Disapprove,3,2,Yes,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15232
Public,260891216,03/06/2017 7:03:31 AM PST,03/06/2017 7:14:11 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,3,4,Yes,Yes,Yes,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15201
Public,260891253,03/06/2017 7:04:43 AM PST,03/06/2017 7:07:25 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,Yes,Not sure,No,Not sure,Neutral,Actively Support,To some extent,Somewhat familiar,15101
Public,260892012,03/06/2017 7:30:04 AM PST,03/06/2017 7:32:20 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,No,Yes,No,Not sure,Neutral,Actively Support,To a moderate extent,Mostly familiar,15206
Public,260892904,03/06/2017 8:01:07 AM PST,03/06/2017 8:02:45 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,2,5,Yes,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15224
Public,260893341,03/06/2017 8:19:02 AM PST,03/06/2017 8:21:14 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,4,4,Maybe,Yes,Not sure,No,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15212
Public,260894134,03/06/2017 8:40:23 AM PST,03/06/2017 8:43:13 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,4,Maybe,Yes,No,No,Not sure,Neutral,Neither Support nor Oppose,To some extent,Extremely familiar,15221
Public,260895490,03/06/2017 9:37:03 AM PST,03/06/2017 9:40:06 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15222
Public,260896770,03/06/2017 10:44:37 AM PST,03/06/2017 10:50:36 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Not sure,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15218
Public,260896993,03/06/2017 10:54:55 AM PST,03/06/2017 10:59:08 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,No,No,No,Yes,Strongly Disagree,Neither Support nor Oppose,To a large extent,Mostly familiar,15206
Public,260897285,03/06/2017 11:06:00 AM PST,03/06/2017 11:10:46 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,4,5,Not sure,Not sure,No,No,No,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15222
Public,260897287,03/06/2017 11:06:01 AM PST,03/06/2017 11:16:11 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,4,4,Yes,Yes,No,Yes,Not sure,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15213
Public,260897299,03/06/2017 11:06:29 AM PST,03/06/2017 11:11:05 AM PST,COMPLETE,Survey Link,Yes,No,2,Somewhat Disapprove,4,3,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To little extent,Somewhat familiar,15203
Public,260897332,03/06/2017 11:08:38 AM PST,03/06/2017 11:27:24 AM PST,COMPLETE,Survey Link,Not sure,Not sure,2,Somewhat Approve,4,4,Yes,Yes,Not sure,Not sure,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15232
Public,260897360,03/06/2017 11:10:15 AM PST,03/06/2017 11:13:24 AM PST,COMPLETE,Survey Link,Not sure,Yes,2,Approve,5,5,Yes,Yes,No,No,Yes,Neutral,Neither Support nor Oppose,To a large extent,Extremely familiar,15212
Public,260897368,03/06/2017 11:10:47 AM PST,03/06/2017 11:15:28 AM PST,COMPLETE,Survey Link,Yes,No,2,Neutral,3,2,Yes,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15216
Public,260897403,03/06/2017 11:11:53 AM PST,03/06/2017 11:20:06 AM PST,COMPLETE,Survey Link,No,No,2,Neutral,2,2,Not sure,Yes,Yes,Not sure,Yes,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,15218
Public,260897424,03/06/2017 11:13:16 AM PST,03/06/2017 11:26:56 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,Yes,No,No,Not sure,Agree,Actively Support,To a large extent,Not familiar at all,15206
Public,260897471,03/06/2017 11:16:00 AM PST,03/06/2017 11:22:29 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,3,3,Maybe,Yes,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To a large extent,Somewhat familiar,15212
Public,260897492,03/06/2017 11:17:12 AM PST,03/06/2017 11:28:53 AM PST,COMPLETE,Survey Link,Not sure,Not sure,2,Somewhat Approve,2,3,Yes,No,Not sure,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15203
Public,260898036,03/06/2017 11:37:51 AM PST,03/06/2017 11:40:32 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,3,Maybe,Yes,Yes,Yes,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15222
Public,260898055,03/06/2017 11:38:27 AM PST,03/06/2017 11:47:11 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,4,Yes,No,No,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15203
Public,260898337,03/06/2017 11:47:41 AM PST,03/06/2017 11:52:08 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,2,2,Yes,Yes,Not sure,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15208
Public,260898356,03/06/2017 11:48:22 AM PST,03/06/2017 11:52:26 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,3,Yes,No,Yes,Yes,No,Disagree,Actively Support,To little extent,Mostly Unfamiliar,15212
Public,260898445,03/06/2017 11:51:11 AM PST,03/06/2017 11:55:36 AM PST,COMPLETE,Survey Link,Yes,No,2,Somewhat Approve,2,3,Yes,No,Yes,Not sure,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15217
Public,260899257,03/06/2017 12:17:20 PM PST,03/06/2017 12:19:45 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,4,4,Maybe,Not sure,No,No,Not sure,Disagree,Neither Support nor Oppose,To a large extent,Somewhat familiar,15211
Public,260899341,03/06/2017 12:21:18 PM PST,03/06/2017 12:23:07 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,1,2,Yes,Not sure,Yes,Yes,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15236
Public,260899761,03/06/2017 12:39:19 PM PST,03/06/2017 12:44:55 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,3,Yes,Yes,Yes,No,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15232
Public,260900267,03/06/2017 1:05:35 PM PST,03/06/2017 1:09:16 PM PST,COMPLETE,Survey Link,No,Yes,2,Approve,4,5,Yes,Not sure,Yes,No,No,Neutral,Actively Support,To some extent,Mostly Unfamiliar,15143
Public,260900454,03/06/2017 1:13:32 PM PST,03/06/2017 1:20:01 PM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,4,Yes,Yes,Not sure,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15120
Public,260900696,03/06/2017 1:23:25 PM PST,03/06/2017 6:47:15 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,No,No,No,No,Strongly Disagree,Actively Support,To a large extent,Mostly familiar,15222
Public,260901029,03/06/2017 1:33:35 PM PST,03/06/2017 1:39:21 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,2,3,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Actively Support,To some extent,Mostly Unfamiliar,15102
Public,260901538,03/06/2017 1:52:43 PM PST,03/06/2017 1:58:29 PM PST,COMPLETE,Survey Link,No,Yes,2,Neutral,4,4,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15102
Public,260901796,03/06/2017 2:02:38 PM PST,03/06/2017 2:10:18 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,3,4,Yes,Yes,Not sure,Yes,Yes,Agree,No Opinion,To some extent,Somewhat familiar,15224
Public,260901870,03/06/2017 2:05:59 PM PST,03/06/2017 2:11:19 PM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,3,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15220
Public,260902278,03/06/2017 2:23:12 PM PST,03/06/2017 2:27:22 PM PST,COMPLETE,Survey Link,Not sure,Yes,2,Approve,2,4,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To a moderate extent,Mostly familiar,15237
Public,260902442,03/06/2017 2:28:55 PM PST,03/06/2017 2:32:53 PM PST,COMPLETE,Survey Link,Not sure,Yes,2,Somewhat Approve,2,3,Maybe,Yes,Not sure,No,Yes,Disagree,Actively Support,To some extent,Mostly familiar,15217
Public,260902955,03/06/2017 2:54:33 PM PST,03/06/2017 2:57:15 PM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Disapprove,3,3,Not sure,Yes,Yes,Yes,Yes,Agree,No Opinion,Not at all,Mostly Unfamiliar,15202
Public,260904089,03/06/2017 3:40:32 PM PST,03/06/2017 3:47:00 PM PST,COMPLETE,Survey Link,Not sure,Yes,2,Approve,2,3,Yes,Yes,No,No,No,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15218
Public,260906932,03/06/2017 5:53:50 PM PST,03/06/2017 5:58:04 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Yes,Yes,Yes,No,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15102
Public,260909253,03/06/2017 7:31:52 PM PST,03/06/2017 7:34:15 PM PST,COMPLETE,Survey Link,No,Yes,2,Neutral,4,4,Not sure,Yes,Yes,Not sure,No,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15221
Public,260941689,03/07/2017 5:35:28 AM PST,03/07/2017 5:41:46 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,2,2,Not sure,Not sure,Yes,Not sure,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15213
Public,260942809,03/07/2017 6:18:12 AM PST,03/07/2017 6:50:35 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,4,4,Yes,Yes,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15243
Public,260943025,03/07/2017 6:25:01 AM PST,03/07/2017 6:35:55 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Not sure,Yes,Strongly Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15206
Public,260945165,03/07/2017 7:04:49 AM PST,03/07/2017 7:12:06 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,Not sure,Not sure,No,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15232
Public,260946239,03/07/2017 7:44:59 AM PST,03/07/2017 7:47:55 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,5,5,Maybe,No,No,No,Not sure,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15205
Public,260946671,03/07/2017 8:02:32 AM PST,03/07/2017 8:06:15 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,3,4,Yes,Not sure,Not sure,Not sure,Not sure,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15206
Public,260958428,03/07/2017 9:50:12 AM PST,03/07/2017 9:52:53 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,3,Maybe,Yes,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Mostly Unfamiliar,15243
Public,260968921,03/07/2017 10:48:38 AM PST,03/07/2017 12:03:58 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,3,3,Maybe,Yes,Not sure,No,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15106
Public,260970747,03/07/2017 10:59:44 AM PST,03/07/2017 11:05:02 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,4,4,Maybe,No,No,No,Yes,Neutral,Actively Support,To a moderate extent,Mostly familiar,16059
Public,261082481,03/08/2017 4:57:59 AM PST,03/08/2017 5:05:46 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,Not sure,Not sure,No,Not sure,Neutral,Actively Support,To some extent,Mostly Unfamiliar,15228
Public,261084822,03/08/2017 6:50:05 AM PST,03/08/2017 7:04:29 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Not sure,Not sure,No,Yes,Neutral,Actively Support,To a moderate extent,Mostly familiar,15238
Public,261086567,03/08/2017 8:06:58 AM PST,03/08/2017 8:15:28 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Not sure,No,No,Not sure,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,16066
Public,261090180,03/08/2017 10:19:17 AM PST,03/08/2017 10:21:22 AM PST,COMPLETE,Social,No,Yes,2,Approve,4,5,Yes,No,No,No,No,Strongly Disagree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15219
Public,261090337,03/08/2017 10:26:09 AM PST,03/08/2017 10:31:51 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,3,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15224
Public,261097218,03/08/2017 2:09:11 PM PST,03/08/2017 2:11:53 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15222
Public,261099257,03/08/2017 3:14:42 PM PST,03/08/2017 3:24:14 PM PST,COMPLETE,Survey Link,Yes,No,2,Approve,2,5,Yes,Not sure,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Mostly Unfamiliar,15212
Public,261103093,03/08/2017 5:40:25 PM PST,03/08/2017 6:06:38 PM PST,COMPLETE,Social,Yes,No,2,Approve,3,3,Maybe,Yes,No,No,Yes,Agree,Actively Support,To a large extent,Extremely familiar,15232
Public,260279157,02/22/2017 10:15:25 AM PST,02/22/2017 10:20:19 AM PST,COMPLETE,Survey Link,No,Yes,1,Neutral,2,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15224
Public,260281336,02/22/2017 11:22:21 AM PST,02/22/2017 11:27:04 AM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,5,Yes,No,No,No,No,Strongly Disagree,Actively Support,To a moderate extent,Mostly familiar,15203
Public,260281620,02/22/2017 11:33:26 AM PST,02/22/2017 11:44:28 AM PST,COMPLETE,Survey Link,No,Yes,1,Approve,2,5,Yes,Not sure,Yes,No,Yes,Disagree,Actively Support,To a large extent,Extremely familiar,15206
Public,260281844,02/22/2017 11:43:05 AM PST,02/22/2017 11:45:32 AM PST,COMPLETE,Survey Link,No,Yes,1,Approve,3,5,Yes,Yes,No,No,No,Neutral,Actively Support,To a moderate extent,Mostly familiar,15213
Public,260283532,02/22/2017 12:17:09 PM PST,02/22/2017 12:33:06 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,3,5,Yes,No,No,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15206
Public,260284008,02/22/2017 12:39:55 PM PST,02/22/2017 12:47:05 PM PST,COMPLETE,Survey Link,Yes,No,1,Neutral,3,4,Maybe,Yes,Not sure,Yes,Yes,Agree,No Opinion,To a moderate extent,Mostly Unfamiliar,15201
Public,260284361,02/22/2017 12:53:47 PM PST,02/22/2017 1:05:52 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,3,5,Yes,Yes,Yes,Not sure,Yes,Neutral,Actively Support,To some extent,Mostly Unfamiliar,15220
Public,260332058,02/23/2017 8:54:39 AM PST,02/23/2017 9:03:14 AM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,3,4,Not sure,Not sure,No,Not sure,Yes,Neutral,Neither Support nor Oppose,To a large extent,Extremely familiar,15221
Public,260332114,02/23/2017 8:57:11 AM PST,02/23/2017 8:58:49 AM PST,COMPLETE,Survey Link,Yes,No,1,Neutral,2,3,Not sure,Yes,Yes,Yes,Yes,Neutral,No Opinion,To little extent,Not familiar at all,15206
Public,260338799,02/23/2017 12:29:32 PM PST,02/23/2017 12:44:31 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,4,Yes,Not sure,No,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15224
Public,260339899,02/23/2017 12:56:01 PM PST,02/23/2017 1:13:18 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,4,Yes,Not sure,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15212
Public,260340631,02/23/2017 1:12:56 PM PST,02/23/2017 1:30:31 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,4,Yes,No,No,No,No,Neutral,Neither Support nor Oppose,To a large extent,Mostly familiar,15238
Public,260342537,02/23/2017 2:06:35 PM PST,02/23/2017 2:08:46 PM PST,COMPLETE,Survey Link,No,Yes,1,Approve,3,5,Yes,No,No,No,No,Strongly Disagree,Actively Support,To a large extent,Extremely familiar,15222
Public,260344834,02/23/2017 2:56:52 PM PST,02/23/2017 3:02:20 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,1,5,Yes,Not sure,Yes,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15217
Public,260352697,02/23/2017 7:27:00 PM PST,02/23/2017 7:30:02 PM PST,COMPLETE,Survey Link,No,No,1,Approve,2,5,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Extremely familiar,15143
Public,260355021,02/23/2017 10:11:52 PM PST,02/23/2017 10:20:02 PM PST,COMPLETE,Social,Yes,Yes,1,Approve,2,4,Yes,No,No,No,Yes,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15212
Public,260384157,02/24/2017 6:17:04 AM PST,02/24/2017 6:19:57 AM PST,COMPLETE,Survey Link,Yes,No,1,Somewhat Approve,1,4,Yes,Yes,Yes,No,Yes,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15224
Public,260401816,02/24/2017 5:24:58 PM PST,02/24/2017 5:32:42 PM PST,COMPLETE,Social,Yes,Yes,1,Approve,1,5,Yes,No,Yes,No,Yes,Strongly Agree,Actively Support,To a large extent,Extremely familiar,15217
Public,260408977,02/25/2017 4:16:09 AM PST,02/25/2017 4:19:38 AM PST,COMPLETE,Social,No,Yes,1,Approve,3,5,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a large extent,Somewhat familiar,15203
Public,260677531,02/27/2017 8:46:36 PM PST,02/27/2017 8:56:03 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,4,Yes,Yes,Not sure,No,Yes,Agree,Neither Support nor Oppose,To a large extent,Extremely familiar,15232
Public,260767324,03/02/2017 4:07:51 AM PST,03/02/2017 4:17:36 AM PST,COMPLETE,Survey Link,No,Yes,1,Somewhat Approve,4,4,Yes,Yes,Not sure,Not sure,Not sure,Neutral,No Opinion,To some extent,Mostly familiar,15224
Public,260768362,03/02/2017 5:15:51 AM PST,03/02/2017 5:41:49 AM PST,COMPLETE,Survey Link,No,Yes,1,Approve,2,4,Yes,Yes,No,Not sure,Not sure,Neutral,Actively Support,To a large extent,Mostly familiar,15209
